slug,entry_price,fee,payout,pnl,depth_ratio_at_signal,depth_ratio_zscore,spread_at_signal,spread_zscore,mid_price_at_signal,snapshot_idx,total_snapshots
btc-updown-5m-1772540700,0.5,0.0001734375,1.0,0.4998265625,2.0769150235560985,1.9844946932903764,0.010000000000000009,-0.8927283723894239,0.495,30,62662
btc-updown-5m-1772549400,0.55,0.00018698470312500002,1.0,0.44981301529687495,15.68358641869988,5.699145528458765,0.0,-2.1171906723881126,0.55,34,62704
btc-updown-5m-1772622600,0.5,0.0001734375,1.0,0.4998265625,1.9756017385587497,3.469913898099618,0.010000000000000009,-0.7841599532608997,0.495,22,43798
btc-updown-5m-1772650200,0.5,0.0001734375,1.0,0.4998265625,0.9789209838887464,2.0859525691482146,0.010000000000000009,-1.3282641733803233,0.495,19,49368
btc-updown-5m-1772688900,0.52,0.00017979826176,0.0,-0.52017979826176,1.9912879894798368,1.9270252940366703,0.020000000000000018,-0.03397497866814008,0.51,150,45267
btc-updown-5m-1772694000,0.5,0.0001734375,0.0,-0.5001734375,0.8596624043340945,1.6295674700792608,0.010000000000000009,-0.4114045835224536,0.495,64,55966
btc-updown-5m-1772746500,0.48,0.00016596762623999998,0.0,-0.48016596762624,1.30525702039144,1.8399237784927123,0.010000000000000009,-0.5563035899673187,0.475,67,29421
btc-updown-5m-1772765100,0.51,0.00017676475330500002,0.0,-0.510176764753305,0.659780815302687,1.655307475155906,0.020000000000000018,-0.9821213030285313,0.5,54,52165
btc-updown-5m-1772836500,0.54,0.00018492257232000006,1.0,0.45981507742767996,0.9525092119783777,2.5245942721553662,0.040000000000000036,0.270675996187542,0.52,22,46784
btc-updown-5m-1770864900,0.48,0.00016596762623999998,0.0,-0.48016596762624,2.4526617250673857,1.9208004909230738,0.019999999999999962,-0.42124707212573154,0.47,165,544
btc-updown-5m-1770885300,0.5,0.0001734375,1.0,0.4998265625,1.3223113168554188,1.850142628245592,0.010000000000000009,0.0,0.495,19,16741
btc-updown-5m-1770972600,0.46,0.00015752663568000005,1.0,0.53984247336432,0.8516019198424745,1.6600075357778157,0.0,-2.3506058504484892,0.46,42,21467
btc-updown-5m-1771013100,0.52,0.00017979826176,0.0,-0.52017979826176,1.316574585635359,1.671482610502508,0.010000000000000009,0.0,0.515,23,30526
btc-updown-5m-1771118400,0.52,0.00017979826176,0.0,-0.52017979826176,0.8405571288702666,3.84692546993194,0.010000000000000009,0.14142135623730975,0.515,122,16321
btc-updown-5m-1771126500,0.51,0.00017676475330500002,1.0,0.48982323524669497,1.2507614742140785,1.5830316061538756,0.010000000000000009,0.0,0.505,72,34412
btc-updown-5m-1771131000,0.46,0.00015752663568000005,0.0,-0.46015752663568005,0.27303206142664554,4.971141769155617,0.010000000000000009,-1.2000035176534893,0.455,193,26948
btc-updown-5m-1771138500,0.54,0.00018492257232000006,1.0,0.45981507742767996,3.7251126723223753,5.414519797156247,0.010000000000000009,-6.929646455628166,0.535,76,27903
btc-updown-5m-1771232700,0.48,0.00016596762623999998,0.0,-0.48016596762624,1.0775687486676615,1.5129100754732614,0.010000000000000009,-0.2527736602705511,0.475,28,31266
btc-updown-5m-1771245600,0.5,0.0001734375,0.0,-0.5001734375,0.5638430083386786,1.5206160514457239,0.010000000000000009,-0.45643546458763834,0.495,20,32357
btc-updown-5m-1771250100,0.52,0.00017979826176,1.0,0.47982020173823997,4.95528223225561,1.7024280084172076,0.010000000000000009,-0.743322497161494,0.515,30,32501
btc-updown-5m-1771254000,0.53,0.00018252245761499997,1.0,0.46981747754238495,1.638108011067227,3.1380833707957305,0.020000000000000018,0.49497474683058335,0.52,74,33807
btc-updown-5m-1771296000,0.5,0.0001734375,1.0,0.4998265625,0.6348400984009839,1.6214019934634767,0.010000000000000009,0.0,0.495,52,33704
btc-updown-5m-1771345800,0.53,0.00018252245761499997,1.0,0.46981747754238495,1.6298008931894308,2.694657982931408,0.010000000000000009,0.0,0.525,156,40507
btc-updown-5m-1771474800,0.52,0.00017979826176,0.0,-0.52017979826176,1.4023412025564106,2.110556641423187,0.020000000000000018,0.0,0.51,84,11943
btc-updown-5m-1771504200,0.43,0.00014336662486500002,0.0,-0.430143366624865,1.9922845514068308,3.9452889121243024,0.02999999999999997,0.22555973262631296,0.41500000000000004,29,24473
btc-updown-5m-1771512600,0.49,0.00016983280219500004,1.0,0.509830167197805,0.7959052989202936,2.008022044309412,0.010000000000000009,-0.2041241452319318,0.485,23,30615
btc-updown-5m-1771578300,0.45,0.00015298748437500003,0.0,-0.450152987484375,0.7010367577756834,2.565399248789835,0.010000000000000009,-0.38230072737812754,0.445,19,24676
btc-updown-5m-1771590300,0.5,0.0001734375,0.0,-0.5001734375,0.7623831355627472,4.280636013418149,0.010000000000000009,-0.5867915509994363,0.495,253,15359
btc-updown-5m-1771692900,0.42,0.00013832377776000002,0.0,-0.42013832377776,0.6769520166293875,2.9668547476448714,0.010000000000000009,-0.9284962375572081,0.415,87,21903
btc-updown-5m-1771776000,0.54,0.00018492257232000006,0.0,-0.54018492257232,13.876316916488225,2.2714524554264934,0.010000000000000009,-0.8449498244835584,0.535,19,27027
btc-updown-5m-1771794900,0.5,0.0001734375,1.0,0.4998265625,0.5859837324670746,3.8249428421762497,0.010000000000000009,0.0,0.495,37,20501
btc-updown-5m-1771802700,0.53,0.00018252245761499997,1.0,0.46981747754238495,0.9335815517655537,3.76790762568853,0.010000000000000009,-0.5018705639589909,0.525,28,29889
btc-updown-5m-1771895400,0.46,0.00015752663568000005,0.0,-0.46015752663568005,2.0799626051729514,3.6242519410348315,0.010000000000000009,-0.2955109687867217,0.455,69,23401
btc-updown-5m-1771926300,0.46,0.00015752663568000005,0.0,-0.46015752663568005,1.187236504918575,1.7628709824080775,0.010000000000000009,-1.648670133030599,0.455,148,23769
btc-updown-5m-1771972800,0.49,0.00016983280219500004,0.0,-0.490169832802195,0.408250184959309,1.9934562776604607,0.010000000000000009,-0.5563035899673188,0.485,92,18679
btc-updown-5m-1772008200,0.5,0.0001734375,1.0,0.4998265625,0.3456028181906439,1.8737860324096138,0.010000000000000009,-0.8205702341289147,0.495,39,20169
btc-updown-5m-1772088000,0.52,0.00017979826176,0.0,-0.52017979826176,1.5448847685578113,2.551951785000627,0.020000000000000018,-0.08727298955107651,0.51,44,15643
btc-updown-5m-1772105400,0.52,0.00017979826176,1.0,0.47982020173823997,1.850087859634399,1.5364445572316747,0.010000000000000009,0.0,0.515,19,21843
btc-updown-5m-1772158500,0.53,0.00018252245761499997,1.0,0.46981747754238495,1.6371896039962353,1.5180428128129058,0.010000000000000009,-0.617341972581734,0.525,90,31045
btc-updown-5m-1772177700,0.51,0.00017676475330500002,0.0,-0.510176764753305,1.2641920835085974,1.7427824561716483,0.020000000000000018,-0.46381240951435604,0.5,127,29766
btc-updown-5m-1772217900,0.52,0.00017979826176,0.0,-0.52017979826176,1.0840352443426622,1.532494559041134,0.020000000000000018,-0.4085752815378833,0.51,25,40131
btc-updown-5m-1772322600,0.52,0.00017979826176,0.0,-0.52017979826176,2.195230087142639,2.0867104164255803,0.020000000000000018,-1.384168265677803,0.51,19,41099
btc-updown-5m-1772323800,0.55,0.00018698470312500002,1.0,0.44981301529687495,5.734071661237785,2.9101521916075983,0.010000000000000009,-0.4033589130023195,0.545,41,41185
btc-updown-5m-1772354700,0.52,0.00017979826176,0.0,-0.52017979826176,1.04742616784991,1.618684200066653,0.010000000000000009,-1.0228557482486038,0.515,89,27205
btc-updown-5m-1772394900,0.52,0.00017979826176,1.0,0.47982020173823997,1.7737260590431676,1.9692331845456557,0.010000000000000009,0.0,0.515,83,42256
btc-updown-5m-1772400300,0.46,0.00015752663568000005,0.0,-0.46015752663568005,1.4357505533133705,1.8349377579285202,0.010000000000000009,-0.7105269064915624,0.455,89,46419
btc-updown-5m-1772428500,0.51,0.00017676475330500002,1.0,0.48982323524669497,2.32688995215311,2.1042640136122093,0.010000000000000009,-0.7269837638573319,0.505,21,39064
btc-updown-5m-1772433300,0.49,0.00016983280219500004,0.0,-0.490169832802195,0.5503915045199449,2.9245365799748604,0.020000000000000018,0.3130495168499702,0.48,114,48631
btc-updown-5m-1772529900,0.52,0.00017979826176,0.0,-0.52017979826176,21.071124074489568,3.097577394920621,0.010000000000000009,-1.1003669630701156,0.515,24,27358
btc-updown-5m-1772530500,0.54,0.00018492257232000006,1.0,0.45981507742767996,8.943551548412387,1.6121735711493546,0.030000000000000027,-1.6462517813312267,0.525,22,54382
btc-updown-5m-1772533500,0.48,0.00016596762623999998,0.0,-0.48016596762624,0.04577516143353298,2.835539625798539,0.019999999999999962,-0.3817498873727017,0.47,29,27383
btc-updown-5m-1772626800,0.52,0.00017979826176,0.0,-0.52017979826176,3.933284027441279,1.5595110931260445,0.010000000000000009,-0.49497474683058335,0.515,67,52880
btc-updown-5m-1772629500,0.47,0.00016185953788499998,1.0,0.5298381404621151,0.2509948797718582,1.9909737979660325,0.009999999999999953,0.0,0.46499999999999997,34,37874
btc-updown-5m-1772632800,0.5,0.0001734375,0.0,-0.5001734375,3.9170028464358113,5.494952547995503,0.010000000000000009,0.1714985851425085,0.495,33,60096
btc-updown-5m-1772703600,0.5,0.0001734375,1.0,0.4998265625,0.2465507435083866,1.5098950183886994,0.010000000000000009,0.0,0.495,52,68424
btc-updown-5m-1772715600,0.52,0.00017979826176,0.0,-0.52017979826176,0.9145098657625514,1.9015164356775451,0.020000000000000018,-1.4017891381102148,0.51,70,43555
btc-updown-5m-1772730600,0.5,0.0001734375,1.0,0.4998265625,1.1890550740844283,1.6885345616564331,0.020000000000000018,-0.4220534530833175,0.49,32,56572
btc-updown-5m-1772732100,0.55,0.00018698470312500002,1.0,0.44981301529687495,1.3401590901830496,1.8083368940849767,0.010000000000000009,0.141421356237303,0.545,100,67858
btc-updown-5m-1772747100,0.5,0.0001734375,1.0,0.4998265625,0.9545040092252407,1.9848729042960584,0.010000000000000009,-0.23497078032307286,0.495,111,40724
btc-updown-5m-1770904800,0.46,0.00015752663568000005,0.0,-0.46015752663568005,0.31899721448467966,2.098576814442006,0.010000000000000009,-0.4887795746927431,0.455,126,15338
btc-updown-5m-1770999300,0.5,0.0001734375,0.0,-0.5001734375,1.7061627050351058,2.8303713483036246,0.010000000000000009,-0.62426151140831,0.495,76,43151
